action,normalUser
CREATE_DOCUMENT,50199
DOCUMENT_DELETED,2915
GUEST,21761
LIKE,10369
LINK_CLICK,342
MARK_PHOTO,11992
PHOTO_TEXT,80
RE_SHARE,37
SEND_PRESENT,129
VIDEO_CALL_INCOMING,7
VIDEO_CALL,42
VOTE,282
VOTE_PHOTO,3
CREATE_DOCUMENT,67491
DOCUMENT_DELETED,1997
GUEST,11994
LIKE,12645
LINK_CLICK,93
MARK_PHOTO,5305
PHOTO_TEXT,36
RE_SHARE,44
SEND_PRESENT,48
VIDEO_CALL_INCOMING,14
VIDEO_CALL,15
VOTE,205
VOTE_PHOTO,8
CREATE_DOCUMENT,50522
DOCUMENT_DELETED,1596
GUEST,20399
LIKE,19888
LINK_CLICK,929
MARK_PHOTO,4833
PHOTO_TEXT,51
RE_SHARE,937
SEND_PRESENT,211
VIDEO_CALL_INCOMING,2
VIDEO_CALL,13
VOTE,317
VOTE_PHOTO,15
CREATE_DOCUMENT,41819
DOCUMENT_DELETED,1002
GUEST,10060
LIKE,16510
LINK_CLICK,747
MARK_PHOTO,26116
PHOTO_TEXT,21
RE_SHARE,1731
SEND_PRESENT,0
VIDEO_CALL_INCOMING,4
VIDEO_CALL,3
VOTE,185
VOTE_PHOTO,6
CREATE_DOCUMENT,46452
DOCUMENT_DELETED,1743
GUEST,19155
LIKE,16994
LINK_CLICK,151
MARK_PHOTO,3030
PHOTO_TEXT,63
RE_SHARE,591
SEND_PRESENT,219
VIDEO_CALL_INCOMING,2
VIDEO_CALL,8
VOTE,365
VOTE_PHOTO,66
CREATE_DOCUMENT,65955
DOCUMENT_DELETED,1787
GUEST,15986
LIKE,9486
LINK_CLICK,474
MARK_PHOTO,4483
PHOTO_TEXT,80
RE_SHARE,109
SEND_PRESENT,107
VIDEO_CALL_INCOMING,27
VIDEO_CALL,27
VOTE,732
VOTE_PHOTO,46
CREATE_DOCUMENT,52001
DOCUMENT_DELETED,1159
GUEST,19827
LIKE,14547
LINK_CLICK,1773
MARK_PHOTO,9526
PHOTO_TEXT,29
RE_SHARE,77
SEND_PRESENT,181
VIDEO_CALL_INCOMING,14
VIDEO_CALL,3
VOTE,442
VOTE_PHOTO,136
CREATE_DOCUMENT,57408
DOCUMENT_DELETED,1085
GUEST,13211
LIKE,20842
LINK_CLICK,251
MARK_PHOTO,5699
PHOTO_TEXT,130
RE_SHARE,83
SEND_PRESENT,35
VIDEO_CALL_INCOMING,3
VIDEO_CALL,0
VOTE,1131
VOTE_PHOTO,33
CREATE_DOCUMENT,45720
DOCUMENT_DELETED,2240
GUEST,15334
LIKE,27258
LINK_CLICK,2017
MARK_PHOTO,6473
PHOTO_TEXT,54
RE_SHARE,298
SEND_PRESENT,137
VIDEO_CALL_INCOMING,28
VIDEO_CALL,18
VOTE,386
VOTE_PHOTO,9
CREATE_DOCUMENT,48413
DOCUMENT_DELETED,801
GUEST,30812
LIKE,8684
LINK_CLICK,143
MARK_PHOTO,9942
PHOTO_TEXT,16
RE_SHARE,45
SEND_PRESENT,74
VIDEO_CALL_INCOMING,60
VIDEO_CALL,57
VOTE,765
VOTE_PHOTO,45
CREATE_DOCUMENT,54137
DOCUMENT_DELETED,601
GUEST,23126
LIKE,12945
LINK_CLICK,1302
MARK_PHOTO,5221
PHOTO_TEXT,61
RE_SHARE,1082
SEND_PRESENT,52
VIDEO_CALL_INCOMING,34
VIDEO_CALL,23
VOTE,724
VOTE_PHOTO,11
CREATE_DOCUMENT,55046
DOCUMENT_DELETED,2009
GUEST,15844
LIKE,20462
LINK_CLICK,619
MARK_PHOTO,3910
PHOTO_TEXT,83
RE_SHARE,517
SEND_PRESENT,68
VIDEO_CALL_INCOMING,5
VIDEO_CALL,32
VOTE,991
VOTE_PHOTO,16
CREATE_DOCUMENT,68294
DOCUMENT_DELETED,3196
GUEST,9973
LIKE,13906
LINK_CLICK,832
MARK_PHOTO,2913
PHOTO_TEXT,256
RE_SHARE,200
SEND_PRESENT,11
VIDEO_CALL_INCOMING,8
VIDEO_CALL,0
VOTE,385
VOTE_PHOTO,26
CREATE_DOCUMENT,58064
DOCUMENT_DELETED,2497
GUEST,12096
LIKE,16215
LINK_CLICK,1779
MARK_PHOTO,6850
PHOTO_TEXT,187
RE_SHARE,232
SEND_PRESENT,197
VIDEO_CALL_INCOMING,3
VIDEO_CALL,0
VOTE,767
VOTE_PHOTO,307
CREATE_DOCUMENT,53538
DOCUMENT_DELETED,1524
GUEST,22154
LIKE,14495
LINK_CLICK,563
MARK_PHOTO,6542
PHOTO_TEXT,35
RE_SHARE,239
SEND_PRESENT,39
VIDEO_CALL_INCOMING,5
VIDEO_CALL,5
VOTE,679
